Al Bank Al Saudi Al Fransi;682588845;588845;446404;18;Co-badged Visa
Al Bank Al Saudi Al Fransi;682588845;588845;440795;16;Co-badged Visa
Al Bank Al Saudi Al Fransi;682588845;588845;440647;16;Co-badged Visa
Al Bank Al Saudi Al Fransi;682588845;588845;421141;16;Co-badged Visa
Al Bank Al Saudi Al Fransi;682588845;588845;474491;16;Co-badged Visa
Al Bank Al Saudi Al Fransi;682588845;588845;588845;16;Co-badged Visa
Al Bank Al Saudi Al Fransi;682588845;588845;968208;16;PREPAID   
Al Bank Al Saudi Al Fransi;682588845;588845;457997;16;VISA Co-Branded 
Al Bank Al Saudi Al Fransi;682588845;588845;457865;16;VISA Co-Branded 
Al Bilad Bank;682636120;636120;468540;16;Co-badged Visa 
Al Bilad Bank;682636120;636120;468541;16;Co-badged Visa 
Al Bilad Bank;682636120;636120;468542;16;Co-badged Visa 
Al Bilad Bank;682636120;636120;468543;16;Co-badged Visa 
Al Bilad Bank;682636120;636120;417633;16;Co-badged Visa 
Al Bilad Bank;682636120;636120;446393;16;Co-badged Visa 
Al Bilad Bank;682636120;636120;636120;16;PREPAID
Al Bilad Bank;682636120;636120;968201;16;PREPAID
Al Rajhi Banking & Inv. Corp.;682588847;588847;410621;16;Co-badge Visa
Al Rajhi Banking & Inv. Corp.;682588847;588847;409201;16;Co-badge Visa
Al Rajhi Banking & Inv. Corp.;682588847;588847;403024;16;Co-badge Visa
Al Rajhi Banking & Inv. Corp.;682588847;588847;458456;19;Co-badge Visa
Al Rajhi Banking & Inv. Corp.;682588847;588847;462220;16;Co-badge Visa
Al Rajhi Banking & Inv. Corp.;682588847;588847;968205;16;PREPAID
Al Rajhi Banking & Inv. Corp.;682588847;588847;455708;16;PREPAID
Al Rajhi Banking & Inv. Corp.;682588847;588847;484783;;Co-badge Visa
Arab National Bank;682588848;588848;588848;19;Co-badge Visa
Arab National Bank;682588848;588848;455036;16;Co-badge Visa 
Arab National Bank;682588848;588848;968203;19;PREPAID
Arab National Bank;682588848;588848;486094;16;Co-badge Visa 
Arab National Bank;682588848;588848;486095;16;Co-badge Visa 
Arab National Bank;682588848;588848;486096;16;Co-badge Visa 
Bank Al-Jazira;682504300;504300;504300;16;Co-badge Visa 
Bank Al-Jazira;682504300;504300;440533;16;Co-badge Visa
Bank Al-Jazira;682504300;504300;489318;16;Co-badge Visa
Bank Al-Jazira;682504300;504300;489319;16;Co-badge Visa
